stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,date_donnee
P7205,7205,Fief Jaulin,"",46.123899,-1.006084,0,A1448,2023-10-20 04:01:38.0
P7206,7206,Fief Jaulin,"",46.12423,-1.006192,0,A1448,2023-10-20 04:01:38.0
P7207,7207,La Jarrie Gare SNCF,"",46.120016,-1.023733,0,A8005,2023-10-20 04:01:38.0
P7208,7208,Les Abeilles,"",46.129868,-1.002047,0,A1455,2023-10-20 04:01:38.0
P7209,7209,Les Abeilles,"",46.129912,-1.002224,0,A1455,2023-10-20 04:01:38.0
P7210,7210,Les Deux Moulins,"",46.132328,-1.013692,0,A6940,2023-10-20 04:01:38.0
P7211,7211,Les Deux Moulins,"",46.132322,-1.013625,0,A6940,2023-10-20 04:01:38.0
P7212,7212,Moulin d'Amour de La Jarrie,"",46.124202,-1.011399,0,A6939,2023-10-20 04:01:38.0
P7213,7213,Moulin d'Amour de La Jarrie,"",46.124231,-1.011431,0,A6939,2023-10-20 04:01:38.0
P7214,7214,Puyvineux,"",46.127007,-0.984258,0,A6838,2023-10-20 04:01:38.0
P7215,7215,Puyvineux,"",46.127077,-0.984298,0,A6838,2023-10-20 04:01:38.0
P7216,7216,Fief Retaillé,"",46.117915,-1.005682,0,A8037,2023-10-20 04:01:38.0
P7217,7217,Fief Retaillé,"",46.117963,-1.005808,0,A8037,2023-10-20 04:01:38.0
P7400,7400,Boulangerie,"",46.109489,-1.006507,0,A4689,2023-10-20 04:01:38.0
P7401,7401,Boulangerie,"",46.109344,-1.006127,0,A4689,2023-10-20 04:01:38.0
P7402,7402,La Trigalle,"",46.10735,-0.997632,0,A1003,2023-10-20 04:01:38.0
P7403,7403,La Trigalle,"",46.107452,-0.997843,0,A1003,2023-10-20 04:01:38.0
P7404,7404,Rue du Chat,"",46.111239,-1.010944,0,A4688,2023-10-20 04:01:38.0
P7405,7405,Rue du Chat,"",46.111074,-1.010807,0,A4688,2023-10-20 04:01:38.0
P7600,7600,Carrefour de Buzay,"",46.126674,-1.078247,0,A1433,2023-10-20 04:01:38.0
P7601,7601,Carrefour de Buzay,"",46.126825,-1.078155,0,A1433,2023-10-20 04:01:38.0
P7602,7602,Carrefour de Vuhé,"",46.118919,-1.07792,0,A1434,2023-10-20 04:01:38.0
